 対 [たい] 	 against 	 preposition 
 と 	 and 	 conjunction 
 誰でも 	 anybody 	 pronoun 
 何故ならば [なぜならば] 	 because 	 conjunction 
 諸事万端 [しょじばんたん] 	 everything 	 pronoun 
 何故ならば [なぜならば] 	 for 	 conjunction 
 我が [わが] 	 my 	 pronoun 
 自身 	 oneself 	 pronoun 
 または ; あるいは 	 or 	 conjunction 
 我が [わが] 	 our 	 pronoun 
 彼奴 [あいつ] 	 she 	 pronoun 
 此の方 [このかた] 	 since 	 preposition 
 彼らの 	 their 	 pronoun 
 奴等 [やつら] 	 they 	 pronoun 
 此の [この] 	 this 	 pronoun 
 身共 [みども] 	 we 	 pronoun 
 何の [どの] 	 which 	 pronoun 
 共に [ともに] 	 with 	 preposition 
 あの 	 the 	 article 
 何でも 	 anything 	 pronoun 
 人間 	 person ; individual ; someone ; somebody ; mortal ; soul 	 family 
 動物 	 animal ; animate being ; beast ; brute ; creature ; fauna 	 nature 
 植物 	 plant ; flora ; plant life 	 house 
 食物 	 food ; nutrient 	 food 
 知識 	 cognition ; knowledge ; noesis 	 education 
 感覚 	 feeling 	 communication 
 宇宙 	 space ; infinite 	 mathematics 
 出来事 	 event 	 abstract 
 過程 	 process ; physical process 	 nature 
 行い 	 act ; deed ; human action ; human activity 	 abstract 
 グループ 	 group ; grouping 	 abstract 
 関係 	 relation 	 communication 
 発見 	 discovery ; find ; uncovering 	 society 
 最高記録 	 record 	 abstract 
 損失 	 loss 	 business 
 誤り 	 mistake ; error ; fault 	 communication 
 転倒 	 spill ; tumble ; fall 	 abstract 
 蹴り技 	 kick ; boot ; kicking 	 abstract 
 キス 	 kiss ; buss ; osculation 	 relations 
 比較 	 comparison ; comparing 	 abstract 
 やり方 	 means ; agency ; way 	 abstract 
 措置 	 measure ; step 	 abstract 
 交換 	 substitution ; exchange ; commutation 	 abstract 
 破壊 	 destruction ; devastation 	 abstract 
 入浴 	 bath 	 house 
 飛行 	 flight ; flying 	 transport 
 旅行 	 journey ; journeying 	 transport 
 動き 	 motion ; movement ; move ; motility 	 physics 
 拡張 	 expansion ; enlargement 	 physics 
 裁ち方 [たちかた] 	 cut ; cutting 	 abstract 
 分割 	 division ; partition ; partitioning ; segmentation ; sectionalization ; sectionalisation 	 mathematics 
 操作 	 operation 	 abstract 
 娯楽 	 entertainment ; amusement 	 art 
 努力 	 work 	 abstract 
 世話 	 care ; attention ; aid ; tending 	 abstract 
 手術 	 operation ; surgery ; surgical operation ; surgical procedure ; surgical process 	 medicine 
 術計 [じゅっけい] 	 trick 	 abstract 
 犯罪 	 crime ; offense ; criminal offense ; criminal offence ; offence ; law-breaking 	 society 
 企て 	 attempt ; effort ; endeavor ; endeavour ; try 	 abstract 
 房事 [ぼうじ] 	 sexual activity ; sexual practice ; sex ; sex activity 	 relations 
 震え 	 tremble ; shiver ; shake 	 abstract 
 足し算 	 summation ; addition ; plus 	 mathematics 
 観察 	 observation ; observance ; watching 	 abstract 
 教育 	 education ; instruction ; teaching ; pedagogy ; didactics ; educational activity 	 education 
 産業 	 industry ; manufacture 	 society 
 使用 	 use ; usage ; utilization ; utilisation ; employment ; exercise 	 linguistics 
 攻撃 	 attack ; onslaught ; onset ; onrush 	 abstract 
 測定 	 measurement ; measuring ; measure ; mensuration 	 art 
 休憩 	 rest ; ease ; repose ; relaxation 	 abstract 
 貿易 	 trade 	 business 
 販路 	 market ; marketplace ; market place 	 business 
 運搬 [うんぱん] 	 transportation ; shipping ; transport 	 transport 
 流通 	 distribution 	 linguistics 
 罰 	 punishment ; penalty ; penalization ; penalisation 	 society 
 戦闘 	 fight ; fighting ; combat ; scrap 	 abstract 
 強打 	 blow 	 abstract 
 援助 	 aid ; assist ; assistance ; help 	 communication 
 賛成 	 blessing ; approval ; approving 	 communication 
 支持 	 support 	 abstract 
 出会い 	 meeting ; coming together 	 communication 
 卵 	 egg 	 food 
 鳥 	 bird 	 animal 
 蛇 [へび] 	 snake ; serpent ; ophidian 	 animal 
 家禽 	 domestic fowl ; fowl ; poultry 	 animal 
 羽毛 	 feather ; plume ; plumage 	 object 
 虫 	 worm 	 animal 
 犬 	 dog ; domestic dog ; Canis familiaris 	 animal 
 猫 	 cat ; true cat 	 animal 
 翼 	 wing 	 anatomy 
 尾 	 tail 	 anatomy 
 昆虫 	 insect 	 animal 
 蜂 [はち] 	 bee 	 animal 
 蟻 [あり] 	 ant ; emmet ; pismire 	 animal 
 鼠 [ねずみ] 	 rat 	 animal 
 馬 	 horse ; Equus caballus 	 animal 
 豚 	 hog ; pig ; grunter ; squealer ; Sus scrofa 	 animal 
 雌牛 	 cow ; moo-cow 	 animal 
 羊 	 sheep 	 animal 
 やぎ 	 goat ; caprine animal 	 animal 
 人間 	 homo ; man ; human being ; human 	 family 
 猿 	 monkey 	 animal 
 魚 	 fish 	 animal 
 アドオン 	 addition ; add-on ; improver 	 abstract 
 飛行機 	 airplane ; aeroplane ; plane 	 object 
 貸間 	 apartment ; flat 	 society 
 器具 	 apparatus ; setup 	 object 
 服 	 apparel ; wearing apparel ; dress ; clothes 	 clothes 
 美術 	 art ; fine art 	 art 
 袋 	 bag 	 object 
 ボール 	 ball 	 object 
 主成分 	 base ; base of operations 	 society 
 かご 	 basket ; handbasket 	 object 
 ベッド 	 bed 	 house 
 鐘 	 bell 	 object 
 曲がり 	 bend ; curve 	 transport 
 自転車 	 bicycle ; bike ; wheel ; cycle 	 object 
 刃 	 blade 	 object 
 盤 	 board 	 object 
 ボート 	 boat 	 object 
 書物 	 book ; volume 	 object 
 ブーツ 	 boot 	 clothes 
 瓶 [びん] 	 bottle 	 food 
 箱 	 box 	 object 
 ブレーキ 	 brake 	 transport 
 煉瓦 [れんが] 	 brick 	 house 
 橋 	 bridge ; span 	 object 
 ブラシ 	 brush 	 object 
 バケツ 	 bucket ; pail 	 house 
 建物 	 building ; edifice 	 city 
 カメラ 	 camera ; photographic camera 	 object 
 缶 	 can ; tin ; tin can 	 object 
 馬車 	 carriage ; equipage ; rig 	 object 
 鎖 	 chain 	 object 
 チョーク 	 chalk 	 art 
 教会 	 church ; church building 	 city 
 時計 	 clock 	 device 
 外套 	 coat 	 clothes 
 襟 [えり] 	 collar ; neckband 	 clothes 
 櫛 [くし] 	 comb 	 object 
 コネクタ 	 connection ; connexion ; connector ; connecter ; connective 	 abstract 
 コピー 	 copy 	 object 
 緒 [お] 	 cord 	 object 
 栓 [せん] 	 cork ; bottle cork 	 object 
 カップ 	 cup 	 food 
 優勝杯 	 cup ; loving cup 	 object 
 カーテン 	 curtain ; drape ; drapery ; mantle ; pall 	 house 
 クッション 	 cushion 	 object 
 装飾 	 decoration ; ornament ; ornamentation 	 object 
 ドア 	 door 	 house 
 排水路 	 drain ; drainpipe ; waste pipe 	 object 
 引き出し 	 drawer 	 house 
 エレベーター 	 elevator ; lift 	 device 
 エンジン 	 engine 	 device 
 布 	 fabric ; cloth ; material ; textile 	 material 
 農場 	 farm 	 nature 
 旗 	 flag 	 object 
 床 	 floor ; flooring 	 house 
 階 	 floor ; level ; storey ; story 	 house 
 フォーク 	 fork 	 food 
 フレーム 	 frame 	 object 
 庭 	 garden 	 house 
 コップ 	 glass ; drinking glass 	 food 
 手袋 	 glove 	 clothes 
 銃 	 gun 	 object 
 槌 [つち] 	 hammer 	 object 
