 tai 	 against 	 preposition 
 oyobi 	 and 	 conjunction 
 nazenaraba 	 because 	 conjunction 
 shojibantan 	 everything 	 pronoun 
 nazenaraba 	 for 	 conjunction 
 waga 	 my 	 pronoun 
 moshikuha 	 or 	 conjunction 
 waga 	 our 	 pronoun 
 aitsu 	 she 	 pronoun 
 konokata 	 since 	 preposition 
 karerano 	 their 	 pronoun 
 yatsura 	 they 	 pronoun 
 kono 	 this 	 pronoun 
 midomo 	 we 	 pronoun 
 nanigoto 	 what 	 pronoun 
 dono 	 which 	 pronoun 
 dare 	 who 	 pronoun 
 tomoni 	 with 	 preposition 
 sono 	 the 	 article 
 ningen 	 person ; individual ; someone ; somebody ; mortal ; soul 	 family 
 do_butsu 	 animal ; animate being ; beast ; brute ; creature ; fauna 	 nature 
 shokubutsu 	 plant ; flora ; plant life 	 house 
 shokuryo_ 	 food ; nutrient 	 food 
 chishiki 	 cognition ; knowledge ; noesis 	 education 
 dekigoto 	 event 	 abstract 
 ko_i 	 act ; deed ; human action ; human activity 	 abstract 
 burui 	 group ; grouping 	 abstract 
 roken 	 discovery ; find ; uncovering 	 society 
 kiroku 	 record 	 abstract 
 ishitsu 	 loss 	 business 
 kashitsu 	 mistake ; error ; fault 	 communication 
 tenraku 	 spill ; tumble ; fall 	 abstract 
 sho_go_ 	 comparison ; comparing 	 abstract 
 ko_kan 	 substitution ; exchange ; commutation 	 abstract 
 zetsumetsu 	 destruction ; devastation 	 abstract 
 hisho_ 	 flight ; flying 	 transport 
 tabiji 	 journey ; journeying 	 transport 
 tachikata 	 cut ; cutting 	 abstract 
 bunkatsu 	 division ; partition ; partitioning ; segmentation ; sectionalization ; sectionalisation 	 mathematics 
 enzan 	 operation 	 abstract 
 ikkyo_ 	 entertainment ; amusement 	 art 
 teinei 	 care ; attention ; aid ; tending 	 abstract 
 jukkei 	 trick 	 abstract 
 zaigo_ 	 crime ; offense ; criminal offense ; criminal offence ; offence ; law-breaking 	 society 
 kikyu_ 	 attempt ; effort ; endeavor ; endeavour ; try 	 abstract 
 bo_ji 	 sexual activity ; sexual practice ; sex ; sex activity 	 relations 
 tashizan 	 summation ; addition ; plus 	 mathematics 
 kansoku 	 observation ; observance ; watching 	 abstract 
 sangyo_ 	 industry ; manufacture 	 society 
 shiyo_ 	 use ; usage ; utilization ; utilisation ; employment ; exercise 	 linguistics 
 shu_geki 	 attack ; onslaught ; onset ; onrush 	 abstract 
 keiryo_ 	 measurement ; measuring ; measure ; mensuration 	 art 
 baibai 	 trade 	 business 
 hanro 	 market ; marketplace ; market place 	 business 
 unpan 	 transportation ; shipping ; transport 	 transport 
 batsu 	 punishment ; penalty ; penalization ; penalisation 	 society 
 sento_ 	 fight ; fighting ; combat ; scrap 	 abstract 
 dageki 	 blow 	 abstract 
 hosa 	 aid ; assist ; assistance ; help 	 communication 
 ninka 	 blessing ; approval ; approving 	 communication 
 katan 	 support 	 abstract 
 otama 	 egg 	 food 
 tori 	 bird 	 animal 
 hebi 	 snake ; serpent ; ophidian 	 animal 
 hane 	 feather ; plume ; plumage 	 object 
 mushikera 	 worm 	 animal 
 inu 	 dog ; domestic dog ; Canis familiaris 	 animal 
 neko 	 cat ; true cat 	 animal 
 bibu 	 tail 	 anatomy 
 mushikera 	 insect 	 animal 
 hachi 	 bee 	 animal 
 ari 	 ant ; emmet ; pismire 	 animal 
 nezumi 	 rat 	 animal 
 uma 	 horse ; Equus caballus 	 animal 
 buta 	 hog ; pig ; grunter ; squealer ; Sus scrofa 	 animal 
 meushi 	 cow ; moo-cow 	 animal 
 hitsuji 	 sheep 	 animal 
 yagi 	 goat ; caprine animal 	 animal 
 ningen 	 homo ; man ; human being ; human 	 family 
 saru 	 monkey 	 animal 
 sakana 	 fish 	 animal 
