 반대 ; 대 	 against 	 preposition 
 그리고 	 and 	 conjunction 
 누구든지 	 anybody 	 pronoun 
 ...이기 때문에 (...igi ttaemune) 	 because 	 conjunction 
 모두 	 everything 	 pronoun 
 왜냐하면 	 for 	 conjunction 
 그를 	 him 	 pronoun 
 그의 	 his 	 pronoun 
 만약에 (manyage) 	 if 	 conjunction 
 그것의 	 its 	 pronoun 
 나의 	 my 	 pronoun 
 또는 	 or 	 conjunction 
 우리의 	 our 	 pronoun 
 그녀 [-女] (geunyeo) 	 she 	 pronoun 
 ~보다 (~boda) 	 than 	 conjunction 
 그들의 (geudeul-ui) 	 their 	 pronoun 
 이것들 (igeotdeul) ; 이걸 (igeol) 	 these 	 pronoun 
 그들 (geudeul) 	 they 	 pronoun 
 이것 (igeot) 	 this 	 pronoun 
 ~으로 (~euro) 	 to 	 preposition 
 우리 (uri) 	 we 	 pronoun 
 무엇 (mueot) 	 what 	 pronoun 
 언제나 (eonjena) 	 whenever 	 conjunction 
 어느 	 which 	 pronoun 
 누구 	 who 	 pronoun 
 누구의 	 whose 	 pronoun 
 (not used) 	 the 	 article 
 왜 	 why 	 adverb 
 ...에도 불구하고 	 despite 	 preposition 
 인간 	 person ; individual ; someone ; somebody ; mortal ; soul 	 family 
 동물의 	 animal ; animate being ; beast ; brute ; creature ; fauna 	 nature 
 식물 	 plant ; flora ; plant life 	 house 
 식량 ; 양식 	 food ; nutrient 	 food 
 인식 	 cognition ; knowledge ; noesis 	 education 
 감각 	 feeling 	 communication 
 우주 	 space ; infinite 	 mathematics 
 사건 ; 큰 사건 	 event 	 abstract 
 과정 	 process ; physical process 	 nature 
 행위 	 act ; deed ; human action ; human activity 	 abstract 
 무리 	 group ; grouping 	 abstract 
 관계 	 relation 	 communication 
 발견 	 discovery ; find ; uncovering 	 society 
 손실 	 loss 	 business 
 잘못 	 mistake ; error ; fault 	 communication 
 낙하 	 spill ; tumble ; fall 	 abstract 
 차다 	 kick ; boot ; kicking 	 abstract 
 입맞춤 	 kiss ; buss ; osculation 	 relations 
 방법 	 means ; agency ; way 	 abstract 
 수단 	 measure ; step 	 abstract 
 교환 	 substitution ; exchange ; commutation 	 abstract 
 파괴 	 destruction ; devastation 	 abstract 
 날기 	 flight ; flying 	 transport 
 여행 	 journey ; journeying 	 transport 
 운동 	 motion ; movement ; move ; motility 	 physics 
 확장 	 expansion ; enlargement 	 physics 
 분할 	 division ; partition ; partitioning ; segmentation ; sectionalization ; sectionalisation 	 mathematics 
 조작 	 operation 	 abstract 
 오락 	 entertainment ; amusement 	 art 
 일 	 work 	 abstract 
 보호 	 care ; attention ; aid ; tending 	 abstract 
 수술 	 operation ; surgery ; surgical operation ; surgical procedure ; surgical process 	 medicine 
 속임수 	 trick 	 abstract 
 죄 ; 범죄 	 crime ; offense ; criminal offense ; criminal offence ; offence ; law-breaking 	 society 
 시도 	 attempt ; effort ; endeavor ; endeavour ; try 	 abstract 
 떨림 	 tremble ; shiver ; shake 	 abstract 
 덧셈 	 summation ; addition ; plus 	 mathematics 
 관찰 	 observation ; observance ; watching 	 abstract 
 교육 	 education ; instruction ; teaching ; pedagogy ; didactics ; educational activity 	 education 
 산업 	 industry ; manufacture 	 society 
 공격 	 attack ; onslaught ; onset ; onrush 	 abstract 
 측정 	 measurement ; measuring ; measure ; mensuration 	 art 
 휴식 	 rest ; ease ; repose ; relaxation 	 abstract 
 통상 	 trade 	 business 
 시장 	 market ; marketplace ; market place 	 business 
 수송 	 transportation ; shipping ; transport 	 transport 
 형벌 	 punishment ; penalty ; penalization ; penalisation 	 society 
 전투 	 fight ; fighting ; combat ; scrap 	 abstract 
 타격 	 blow 	 abstract 
 원조 	 aid ; assist ; assistance ; help 	 communication 
 승인 	 blessing ; approval ; approving 	 communication 
 지지 	 support 	 abstract 
 만남 	 meeting ; coming together 	 communication 
 알 	 egg 	 food 
 새 	 bird 	 animal 
 뱀 	 snake ; serpent ; ophidian 	 animal 
 깃털 	 feather ; plume ; plumage 	 object 
 벌레 	 worm 	 animal 
 개 	 dog ; domestic dog ; Canis familiaris 	 animal 
 고양이 	 cat ; true cat 	 animal 
 부속 건물 	 wing 	 anatomy 
 꼬리 	 tail 	 anatomy 
 곤충 	 insect 	 animal 
 파리 (pari) 	 fly 	 animal 
 꿀벌 	 bee 	 animal 
 개미 	 ant ; emmet ; pismire 	 animal 
 쥐 	 rat 	 animal 
 말 	 horse ; Equus caballus 	 animal 
 돼지 	 hog ; pig ; grunter ; squealer ; Sus scrofa 	 animal 
 암소 ; 젖소 	 cow ; moo-cow 	 animal 
 양 	 sheep 	 animal 
 염소 	 goat ; caprine animal 	 animal 
 사람 	 homo ; man ; human being ; human 	 family 
 원숭이 	 monkey 	 animal 
 물고기 	 fish 	 animal 
 부가 	 addition ; add-on ; improver 	 abstract 
 비행기 	 airplane ; aeroplane ; plane 	 object 
 셋방 	 apartment ; flat 	 society 
 옷 	 apparel ; wearing apparel ; dress ; clothes 	 clothes 
 예술 	 art ; fine art 	 art 
 자루 	 bag 	 object 
 공 	 ball 	 object 
 주성분 	 base ; base of operations 	 society 
 바구니 	 basket ; handbasket 	 object 
 침대 	 bed 	 house 
 종 	 bell 	 object 
 자전거 	 bicycle ; bike ; wheel ; cycle 	 object 
 칼날 	 blade 	 object 
 보트 	 boat 	 object 
 책 	 book ; volume 	 object 
 장화 	 boot 	 clothes 
 병 	 bottle 	 food 
 상자 	 box 	 object 
 브레이크 	 brake 	 transport 
 벽돌 	 brick 	 house 
 다리 	 bridge ; span 	 object 
 솔 	 brush 	 object 
 들통 	 bucket ; pail 	 house 
 건축물 	 building ; edifice 	 city 
 카메라 	 camera ; photographic camera 	 object 
 깡통 	 can ; tin ; tin can 	 object 
 카드 	 card 	 object 
 마차 	 carriage ; equipage ; rig 	 object 
 쇠사슬 	 chain 	 object 
 활석 	 chalk 	 art 
 교회 	 church ; church building 	 city 
 시계 	 clock 	 device 
 상의 	 coat 	 clothes 
 깃 	 collar ; neckband 	 clothes 
 빗 	 comb 	 object 
 커넥터 	 connection ; connexion ; connector ; connecter ; connective 	 abstract 
 끈 	 cord 	 object 
 컵 	 cup 	 food 
 우승컵 	 cup ; loving cup 	 object 
 커튼 	 curtain ; drape ; drapery ; mantle ; pall 	 house 
 방석 	 cushion 	 object 
 문 	 door 	 house 
 배수로 	 drain ; drainpipe ; waste pipe 	 object 
 제도사 	 drawer 	 house 
 승강기 	 elevator ; lift 	 device 
 엔진 	 engine 	 device 
 천 	 fabric ; cloth ; material ; textile 	 material 
 농장 	 farm 	 nature 
 기 	 flag 	 object 
 바닥 	 floor ; flooring 	 house 
 층 (cheung) 	 floor ; level ; storey ; story 	 house 
 포크 	 fork 	 food 
 틀 	 frame 	 object 
 정원 	 garden 	 house 
 컵 	 glass ; drinking glass 	 food 
 장갑 	 glove 	 clothes 
 총 	 gun 	 object 
 망치 	 hammer 	 object 
 손잡이 	 handle ; grip ; handgrip ; hold 	 object 
 모자 (moja) 	 hat ; chapeau ; lid 	 clothes 
 병원 	 hospital ; infirmary 	 city 
 집 	 house 	 house 
 기계 	 instrument 	 device 
 가상공간 	 internet ; net ; cyberspace 	 mathematics 
 보석 	 jewel ; gem ; precious stone 	 object 
 열쇠 	 key 	 house 
 나이프 	 knife 	 food 
 매듭 	 knot 	 object 
 라이브러리 	 library 	 city 
 전구 	 light bulb ; lightbulb ; bulb ; incandescent lamp ; electric light ; electric-light bulb 	 device 
 자물쇠 	 lock 	 house 
 기계 	 machine 	 device 
 지도 	 map 	 object 
 성냥 	 match ; lucifer ; friction match 	 object 
 못 	 nail 	 object 
 바늘 	 needle 	 medicine 
 그물 	 net ; network ; mesh ; meshing ; meshwork 	 material 
 오븐 	 oven 	 device 
 도료 	 paint ; pigment 	 art 
 펜 	 pen 	 object 
 연필 	 pencil 	 object 
 그림 	 picture ; image ; icon ; ikon 	 art 
 핀 	 pin 	 object 
 공장 	 plant ; works ; industrial plant 	 city 
 접시 	 plate 	 food 
 단지 	 pot 	 object 
 교도소 	 prison ; prison house 	 city 
 펌프 	 pump 	 device 
 단추 	 push button ; push ; button 	 object 
 가로장 	 railing ; rail 	 object 
 반지 	 ring ; band 	 clothes 
 길 	 road ; route 	 transport 
 막대 	 rod 	 object 
 지붕 	 roof 	 house 
 방 	 room 	 house 
 금고 	 safe 	 object 
 학교 	 school ; schoolhouse 	 city 
 가위 	 scissors ; pair of scissors 	 object 
 비행선 	 ship 	 transport 
 와이셔츠 	 shirt 	 clothes 
 신 ; 구두 	 shoe 	 clothes 
 상점 	 shop ; store 	 business 
 비단 	 silk 	 material 
 스커트 	 skirt 	 clothes 
 비누 	 soap 	 material 
 양말 	 sock 	 clothes 
 가래 	 spade 	 object 
 숟가락 	 spoon 	 food 
 태엽 	 spring 	 object 
 무대 	 stage 	 object 
 도장 	 stamp 	 object 
 역 	 station 	 society 
 층계 	 step ; stair 	 house 
 지팡이 	 stick 	 object 
 한 바늘 	 stitch 	 medicine 
 긴 양말 	 stocking 	 clothes 
 거리 	 street 	 city 
 건설 	 structure ; construction 	 house 
 테이블 	 table 	 house 
 텔레비전 카메라 	 television camera ; tv camera ; camera 	 object 
 물체 	 thing 	 object 
 실 	 thread ; yarn 	 material 
 기차 	 train ; railroad train 	 transport 
 쟁반 	 tray 	 object 
 우산 	 umbrella 	 clothes 
 선박 	 vessel ; watercraft 	 transport 
 용기 	 vessel 	 object 
 담 	 wall 	 house 
 대야 	 washbasin ; basin ; washbowl ; washstand ; lavatory 	 house 
 시계 	 watch ; ticker 	 object 
 우물 	 well 	 object 
 바퀴 	 wheel 	 object 
 채찍 	 whip 	 object 
 피리 	 whistle 	 device 
 창 	 window 	 house 
 철사 	 wire 	 object 
 작품 	 work ; piece of work 	 abstract 
 보기 	 expression ; look ; aspect ; facial expression ; face 	 communication 
 끄는 힘 	 attraction ; attractiveness 	 abstract 
 장점 	 good ; goodness 	 abstract 
 행동 	 demeanor ; demeanour ; behavior ; behaviour ; conduct ; deportment 	 abstract 
 속성 	 property 	 abstract 
 색조 	 shade ; tint ; tincture ; tone 	 art 
 회색 	 gray ; grayness ; grey ; greyness 	 color 
 향내 	 olfactory property ; smell ; aroma ; odor ; odour ; scent 	 nature 
 음파 	 sound 	 nature 
 침묵 	 silence ; quiet 	 abstract 
 추위 	 coldness ; cold ; low temperature ; frigidity ; frigidness 	 nature 
 온도 	 hotness ; heat ; high temperature 	 medicine 
 질량 	 mass 	 physics 
 무게 	 weight 	 physics 
 힘 	 might ; mightiness ; power 	 abstract 
 힘 	 force ; forcefulness ; strength 	 abstract 
 경사도 	 gradient ; slope 	 mathematics 
 구부러짐 	 curvature ; curve 	 mathematics 
 거리 	 distance 	 mathematics 
 고도 	 degree ; grade ; level 	 linguistics 
 크기 	 size 	 physics 
 양 	 bulk ; mass ; volume 	 physics 
 증대 	 increase ; increment 	 abstract 
 한계 	 limit ; bound ; boundary 	 mathematics 
 가치 	 value 	 art 
 목적 	 function ; purpose ; role ; use 	 linguistics 
 가격 	 price ; cost ; toll 	 business 
 능력 	 power ; powerfulness 	 abstract 
 억제 	 control 	 abstract 
 권한 부여 	 authority ; authorization ; authorisation ; potency ; dominance ; say-so 	 society 
 피부 	 skin ; tegument ; cutis 	 anatomy 
 털 	 hair ; pilus 	 anatomy 
 머리카락 	 hair 	 anatomy 
 골격 	 bone ; os 	 anatomy 
 이 	 tooth 	 anatomy 
 근육 	 muscle ; musculus 	 anatomy 
 혀 	 tongue ; lingua ; glossa ; clapper 	 anatomy 
 입 	 mouth ; oral cavity ; oral fissure ; rima oris 	 anatomy 
 입술 	 lip 	 anatomy 
 눈 	 eye ; oculus ; optic 	 anatomy 
 귀 	 ear 	 anatomy 
 심장 	 heart ; pump ; ticker 	 anatomy 
 위 	 stomach ; tummy ; tum ; breadbasket 	 anatomy 
 혈액 	 blood 	 anatomy 
 신경 	 nerve ; nervus 	 anatomy 
 뇌 	 brain ; encephalon 	 anatomy 
 머리 	 head ; caput 	 anatomy 
 목 	 neck ; cervix 	 anatomy 
 목 	 throat ; pharynx 	 anatomy 
 몸통 	 torso ; trunk ; body 	 anatomy 
 가슴 	 thorax ; chest ; pectus 	 anatomy 
 다리 	 leg 	 anatomy 
 발 	 foot ; human foot ; pes 	 anatomy 
 팔 	 arm 	 anatomy 
 손 	 hand ; manus ; mitt ; paw 	 anatomy 
 손가락 	 finger 	 anatomy 
 엄지 손가락 	 thumb ; pollex 	 anatomy 
 무릎 	 knee ; knee joint ; human knee ; articulatio genus ; genu 	 anatomy 
 발가락 	 toe 	 anatomy 
 손톱 	 nail 	 anatomy 
 코 	 nose ; olfactory organ 	 anatomy 
 아래턱 	 chin ; mentum 	 anatomy 
 얼굴 	 face ; human face 	 anatomy 
 기억 	 memory ; retention ; retentiveness ; retentivity 	 communication 
 의지 	 volition ; will 	 abstract 
 청력 	 hearing ; audition ; auditory sense ; sense of hearing ; auditory modality 	 nature 
 미각 	 taste ; gustation ; sense of taste ; gustatory modality 	 nature 
 관심사 	 interest ; involvement 	 communication 
 문제 	 trouble ; problem 	 abstract 
 의심 	 doubt ; uncertainty ; incertitude ; dubiety ; doubtfulness ; dubiousness 	 communication 
 주의 	 attention ; attending 	 communication 
 소음 	 noise ; dissonance ; racket 	 society 
 조직화 	 arrangement ; organization ; organisation ; system 	 society 
 점수 	 mark ; grade ; score 	 education 
 학습 	 learning ; acquisition 	 education 
 경험 	 experience 	 society 
 독서 	 reading 	 travelling 
 사실 	 fact 	 abstract 
 견본 	 example ; illustration ; instance ; representative 	 communication 
 의견 	 idea ; thought 	 communication 
 결정 	 decision ; determination ; conclusion 	 communication 
 종류 	 kind ; sort ; form ; variety 	 abstract 
 상표 	 brand ; make 	 abstract 
 통제 	 rule ; regulation 	 linguistics 
 지구 	 part ; section ; division 	 mathematics 
 복합체 	 complex ; composite 	 abstract 
 핵 	 kernel ; substance ; core ; center ; centre ; essence ; gist ; heart ; heart and soul ; inwardness ; marrow ; meat ; nub ; pith ; sum ; nitty-gritty 	 abstract 
 기억 	 memory 	 communication 
 견해 	 opinion ; sentiment ; persuasion ; view ; thought 	 communication 
 신앙 	 religion ; faith ; religious belief 	 society 
 희망 	 promise ; hope 	 relations 
 이론 	 theory 	 education 
 훈련 	 discipline ; subject ; subject area ; subject field ; field ; field of study ; study ; bailiwick 	 linguistics 
 학문 	 science ; scientific discipline 	 society 
 쪽 	 page 	 object 
 신문 	 newspaper ; paper 	 object 
 언어 	 language ; linguistic communication 	 communication 
 단어 	 word 	 linguistics 
 이름 ; 성명 	 name 	 linguistics 
 저작 	 writing 	 linguistics 
 허구 	 fiction 	 abstract 
 산문 	 prose 	 abstract 
 절 	 verse ; rhyme 	 linguistics 
 발췌 	 excerpt ; excerption ; extract ; selection 	 linguistics 
 안내서 ; 편람 	 guidebook ; guide 	 object 
 용지 	 form 	 society 
 리스트 	 list ; listing 	 abstract 
 청구서 	 bill ; account ; invoice 	 business 
 표 	 ticket 	 object 
 영수증 	 receipt 	 object 
 법칙 	 law 	 society 
 유언 	 will ; testament 	 society 
 편지 	 letter ; missive 	 object 
 뉴스 	 news ; intelligence ; tidings ; word 	 society 
 이유 	 argument ; statement 	 communication 
 비밀 	 secret 	 communication 
 성명서 	 statement 	 communication 
 이유 	 reason 	 communication 
 대답 	 answer ; reply ; response 	 communication 
 주석 	 note ; annotation ; notation 	 communication 
 계약 	 agreement ; understanding 	 business 
 우표 	 postage ; postage stamp ; stamp 	 object 
 선 	 line 	 mathematics 
 부호 	 sign 	 linguistics 
 문자 	 letter ; letter of the alphabet ; alphabetic character 	 linguistics 
 음계 	 scale ; musical scale 	 mathematics 
 음표 	 note ; musical note ; tone 	 art 
 미소 	 smile ; smiling ; grin ; grinning 	 abstract 
 음악 	 music 	 art 
 노래 	 song ; vocal 	 art 
 박자 	 rhythm ; beat ; musical rhythm 	 art 
 목소리 	 voice ; vocalization ; vocalisation ; vocalism ; phonation ; vox 	 communication 
 외침 	 cry ; outcry ; call ; yell ; shout ; vociferation 	 communication 
 토론 	 discussion ; give-and-take ; word 	 communication 
 제안 	 suggestion ; proposition ; proffer 	 abstract 
 논쟁 	 controversy ; contention ; contestation ; disputation ; disceptation ; tilt ; argument ; arguing 	 mathematics 
 제공 	 offer ; offering 	 abstract 
 요구 	 request ; asking 	 communication 
 질문 	 question ; inquiry ; enquiry ; query ; interrogation 	 linguistics 
 시험 	 examination ; exam ; test 	 communication 
 암 	 yes 	 abstract 
 아니오 (anio) ; 아뇨 (anyo) 	 no 	 abstract 
 광고 	 ad ; advertisement ; advertizement ; advertising ; advertizing ; advert 	 business 
 마커 	 marker ; marking ; mark 	 abstract 
 체험 	 experience 	 communication 
 보상 	 wages ; reward ; payoff 	 society 
 화재 	 fire 	 nature 
 움직임 	 movement ; motion 	 physics 
 탄생 	 birth ; nativity ; nascency ; nascence 	 nature 
 원인 	 cause 	 abstract 
 진동 	 jolt ; jar ; jounce ; shock 	 transport 
 물결 	 wave ; moving ridge 	 nature 
 뛰기 	 leap ; jump ; saltation 	 abstract 
 멈춤 	 stop ; halt 	 abstract 
 우레 ; 천둥 	 thunder 	 nature 
 접촉 	 touch ; touching 	 abstract 
 피해 	 damage ; harm ; impairment 	 transport 
 돌발 	 outburst ; burst ; flare-up 	 abstract 
 시합 	 contest ; competition 	 society 
 경기 	 match 	 sports 
 바람 	 desire 	 abstract 
 즐거움 	 pleasure ; pleasance 	 abstract 
 혐오 	 disgust 	 abstract 
 뜻밖의 일 	 surprise 	 abstract 
 두려움 	 fear ; fearfulness ; fright 	 relations 
 유감 	 sorrow ; regret ; rue ; ruefulness 	 abstract 
 사랑 	 love 	 relations 
 증오 	 hate ; hatred 	 relations 
 식사 	 meal ; repast 	 food 
 수프 	 soup 	 food 
 케이크 	 cake 	 food 
 고기 	 meat 	 food 
 빵 	 bread ; breadstuff ; staff of life 	 food 
 감자 	 potato ; white potato ; Irish potato ; murphy ; spud ; tater 	 food 
 사과 	 apple 	 food 
 오렌지 	 orange 	 food 
 쌀 (ssal) (uncooked) ; 밥 (bab) (cooked) 	 rice 	 food 
 소금 	 salt ; table salt ; common salt 	 food 
 젖 	 milk 	 food 
 버터 	 butter 	 food 
 치즈 	 cheese 	 food 
 음료 	 beverage ; drink ; drinkable ; potable 	 food 
 포도주 	 wine ; vino 	 food 
 사회 	 society 	 society 
 패밀리 	 family ; family unit 	 family 
 성 	 sex 	 nature 
 짐 	 package ; bundle ; packet ; parcel 	 object 
 조직 	 organization ; organisation 	 society 
 정부 	 government ; authorities ; regime 	 society 
 회사 	 company 	 business 
 종교 	 religion ; faith ; organized religion 	 society 
 과 	 family 	 family 
 수도회 	 order ; monastic order 	 society 
 국가 	 nation ; land ; country 	 society 
 민중 	 populace ; public ; world 	 society 
 육군 	 army ; regular army ; ground forces 	 society 
 군대 	 military ; armed forces ; armed services ; military machine ; war machine 	 society 
 표 	 table ; tabular array 	 object 
 계통 	 system ; scheme 	 linguistics 
 흐름 	 stream ; flow ; current 	 nature 
 중심 	 center ; centre ; middle ; heart ; eye 	 mathematics 
 나라 	 country ; state ; land 	 society 
 가장자리 	 edge ; border 	 mathematics 
 들 	 field 	 nature 
