 против 	 against 	 preposition 
 среди 	 among ; amongst ; amid ; amidst 	 preposition 
 и 	 and 	 conjunction 
 всякий 	 anybody 	 pronoun 
 потому 	 because 	 conjunction 
 все 	 everything 	 pronoun 
 ибо 	 for 	 conjunction 
 её 	 her 	 pronoun 
 себе 	 herself 	 pronoun 
 его 	 him 	 pronoun 
 себя 	 himself 	 pronoun 
 его 	 his 	 pronoun 
 в 	 into 	 preposition 
 это 	 it 	 pronoun 
 его 	 its 	 pronoun 
 себя 	 itself 	 pronoun 
 мой 	 my 	 pronoun 
 себя 	 myself 	 pronoun 
 не 	 nor 	 conjunction 
 о 	 of 	 preposition 
 себя 	 oneself 	 pronoun 
 или 	 or 	 conjunction 
 наш 	 our 	 pronoun 
 в 	 per 	 preposition 
 она 	 she 	 pronoun 
 с 	 since 	 preposition 
 чем 	 than 	 conjunction 
 их 	 their 	 pronoun 
 их 	 them 	 pronoun 
 они 	 they 	 pronoun 
 эта 	 this 	 pronoun 
 эти 	 those 	 pronoun 
 твой 	 thy 	 pronoun 
 на 	 to 	 preposition 
 по 	 upon 	 preposition 
 нас 	 us 	 pronoun 
 через 	 via 	 preposition 
 мы 	 we 	 pronoun 
 который 	 what 	 pronoun 
 либо 	 whether 	 conjunction 
 какой 	 which 	 pronoun 
 кто 	 who 	 pronoun 
 кого 	 whom 	 pronoun 
 чей 	 whose 	 pronoun 
 с 	 with 	 preposition 
 себя 	 yourself 	 pronoun 
 тот 	 that 	 pronoun 
 FALSE 	 the 	 article 
 на 	 at 	 preposition 
 почему 	 why 	 adverb 
 несмотря 	 despite 	 preposition 
 смертный 	 person ; individual ; someone ; somebody ; mortal ; soul 	 family 
 животное ; животный 	 animal ; animate being ; beast ; brute ; creature ; fauna 	 nature 
 флора 	 plant ; flora ; plant life 	 house 
 питательное вещество ; пища ; питание 	 food ; nutrient 	 food 
 знание 	 cognition ; knowledge ; noesis 	 education 
 ощущение 	 feeling 	 communication 
 космос 	 space ; infinite 	 mathematics 
 событие 	 event 	 abstract 
 процесс 	 process ; physical process 	 nature 
 дело ; поступок 	 act ; deed ; human action ; human activity 	 abstract 
 группирование 	 group ; grouping 	 abstract 
 отношение 	 relation 	 communication 
 находка 	 discovery ; find ; uncovering 	 society 
 рекорд 	 record 	 abstract 
 утрата ; потеря 	 loss 	 business 
 ошибка 	 mistake ; error ; fault 	 communication 
 падение 	 spill ; tumble ; fall 	 abstract 
 пинок 	 kick ; boot ; kicking 	 abstract 
 поцелуй 	 kiss ; buss ; osculation 	 relations 
 сравнение 	 comparison ; comparing 	 abstract 
 способ 	 means ; agency ; way 	 abstract 
 мера 	 measure ; step 	 abstract 
 обмен 	 substitution ; exchange ; commutation 	 abstract 
 разорение ; опустошение 	 destruction ; devastation 	 abstract 
 ванна 	 bath 	 house 
 летание ; полёты 	 flight ; flying 	 transport 
 путешествие ; поездка 	 journey ; journeying 	 transport 
 полоз ; скаты ; салазки ; направляющий рельс 	 skid ; slip ; sideslip 	 abstract 
